DATE,HOUR,PRICE
01/16/2017,17,0.03359
01/16/2017,18,0.03833
01/16/2017,19,0.03409
01/16/2017,20,0.03249
01/16/2017,21,0.02946
01/16/2017,22,0.02555
01/16/2017,23,0.02304
01/16/2017,24,0.02174
01/17/2017,1,0.02123
01/17/2017,2,0.02097
01/17/2017,3,0.02093
01/17/2017,4,0.0211
01/17/2017,5,0.02176
01/17/2017,6,0.02575
01/17/2017,7,0.03257
01/17/2017,8,0.03041
01/17/2017,9,0.03094
01/17/2017,10,0.031
01/17/2017,11,0.03161
01/17/2017,12,0.03027
01/17/2017,13,0.02944
01/17/2017,14,0.02805
01/17/2017,15,0.02737
01/17/2017,16,0.02777
01/17/2017,17,0.03332
01/17/2017,18,0.03739
01/17/2017,19,0.0336
01/17/2017,20,0.03237
01/17/2017,21,0.02772
01/17/2017,22,0.02458
01/17/2017,23,0.02309
01/17/2017,24,0.0216
01/18/2017,1,0.02119
01/18/2017,2,0.02086
01/18/2017,3,0.02075
01/18/2017,4,0.02086
01/18/2017,5,0.02217
01/18/2017,6,0.02623
01/18/2017,7,0.03373
01/18/2017,8,0.03239
01/18/2017,9,0.03106
01/18/2017,10,0.03049
01/18/2017,11,0.02994
01/18/2017,12,0.02854
01/18/2017,13,0.02801
01/18/2017,14,0.02686
01/18/2017,15,0.02617
01/18/2017,16,0.02656
01/18/2017,17,0.03254
01/18/2017,18,0.03521
01/18/2017,19,0.03213
01/18/2017,20,0.03145
01/18/2017,21,0.02794
01/18/2017,22,0.02408
01/18/2017,23,0.02278
01/18/2017,24,0.02157
01/19/2017,1,0.021
01/19/2017,2,0.02102
01/19/2017,3,0.02098
01/19/2017,4,0.02094
01/19/2017,5,0.0218
01/19/2017,6,0.02429
01/19/2017,7,0.03095
01/19/2017,8,0.03091
01/19/2017,9,0.02998
01/19/2017,10,0.02936
01/19/2017,11,0.02874
01/19/2017,12,0.02854
01/19/2017,13,0.02675
01/19/2017,14,0.0258
01/19/2017,15,0.02484
01/19/2017,16,0.02555
01/19/2017,17,0.02951
01/19/2017,18,0.03199
01/19/2017,19,0.03088
01/19/2017,20,0.03023
01/19/2017,21,0.02623
01/19/2017,22,0.02364
01/19/2017,23,0.02245
01/19/2017,24,0.0221
01/20/2017,1,0.02129
01/20/2017,2,0.0207
01/20/2017,3,0.02093
01/20/2017,4,0.02133
01/20/2017,5,0.02223
01/20/2017,6,0.02668
01/20/2017,7,0.03317
01/20/2017,8,0.03114
01/20/2017,9,0.03038
01/20/2017,10,0.02979
01/20/2017,11,0.02957
01/20/2017,12,0.02873
01/20/2017,13,0.02744
01/20/2017,14,0.02693
01/20/2017,15,0.0259
01/20/2017,16,0.02589
01/20/2017,17,0.02989
01/20/2017,18,0.03096
01/20/2017,19,0.02865
01/20/2017,20,0.02763
01/20/2017,21,0.02537
01/20/2017,22,0.02287
01/20/2017,23,0.02193
01/20/2017,24,0.02141
01/21/2017,1,0.0208
01/21/2017,2,0.02016
01/21/2017,3,0.02003
01/21/2017,4,0.01997
01/21/2017,5,0.01991
01/21/2017,6,0.02149
01/21/2017,7,0.02338
01/21/2017,8,0.02443
01/21/2017,9,0.02496
01/21/2017,10,0.02603
01/21/2017,11,0.02546
01/21/2017,12,0.02504
01/21/2017,13,0.02395
01/21/2017,14,0.02386
01/21/2017,15,0.02378
01/21/2017,16,0.02406
01/21/2017,17,0.0275
01/21/2017,18,0.03021
01/21/2017,19,0.02869
01/21/2017,20,0.02707
01/21/2017,21,0.02487
01/21/2017,22,0.02254
01/21/2017,23,0.02242
01/21/2017,24,0.02105
01/22/2017,1,0.02025
01/22/2017,2,0.02012
01/22/2017,3,0.01978
01/22/2017,4,0.01954
01/22/2017,5,0.01931
01/22/2017,6,0.02013
01/22/2017,7,0.02086
01/22/2017,8,0.02162
01/22/2017,9,0.02264
01/22/2017,10,0.02339
01/22/2017,11,0.02316
01/22/2017,12,0.02303
01/22/2017,13,0.02261
01/22/2017,14,0.0222
01/22/2017,15,0.02213
01/22/2017,16,0.02221
01/22/2017,17,0.02511
01/22/2017,18,0.02877
01/22/2017,19,0.02667
01/22/2017,20,0.02582
01/22/2017,21,0.02326
01/22/2017,22,0.02205
01/22/2017,23,0.02127
01/22/2017,24,0.02098
01/23/2017,1,0.02051
01/23/2017,2,0.02045
01/23/2017,3,0.02056
01/23/2017,4,0.02088
01/23/2017,5,0.02077
01/23/2017,6,0.0239
01/23/2017,7,0.03146
01/23/2017,8,0.03001
01/23/2017,9,0.03058
01/23/2017,10,0.03068
01/23/2017,11,0.03024
01/23/2017,12,0.02912
01/23/2017,13,0.02744
01/23/2017,14,0.02657
01/23/2017,15,0.02552
01/23/2017,16,0.0259
01/23/2017,17,0.03115
01/23/2017,18,0.03471
01/23/2017,19,0.03123
01/23/2017,20,0.03145
01/23/2017,21,0.02841
01/23/2017,22,0.02476
01/23/2017,23,0.02301
01/23/2017,24,0.02193
01/24/2017,1,0.0212
01/24/2017,2,0.02103
01/24/2017,3,0.02092
01/24/2017,4,0.02106
01/24/2017,5,0.0219
01/24/2017,6,0.02677
01/24/2017,7,0.0341
01/24/2017,8,0.03108
01/24/2017,9,0.02971
01/24/2017,10,0.02892
01/24/2017,11,0.02718
01/24/2017,12,0.0264
01/24/2017,13,0.0257
01/24/2017,14,0.02444
01/24/2017,15,0.02409
01/24/2017,16,0.02388
01/24/2017,17,0.02654
01/24/2017,18,0.03042
01/24/2017,19,0.02792
01/24/2017,20,0.02506
01/24/2017,21,0.02364
01/24/2017,22,0.02196
01/24/2017,23,0.02073
01/24/2017,24,0.02056
01/25/2017,1,0.02013
01/25/2017,2,0.02004
01/25/2017,3,0.01998
01/25/2017,4,0.01994
01/25/2017,5,0.01966
01/25/2017,6,0.02372
01/25/2017,7,0.03051
01/25/2017,8,0.02758
01/25/2017,9,0.0268
01/25/2017,10,0.02618
01/25/2017,11,0.02546
01/25/2017,12,0.02433
01/25/2017,13,0.02411
01/25/2017,14,0.02298
01/25/2017,15,0.02291
01/25/2017,16,0.02344
01/25/2017,17,0.02797
01/25/2017,18,0.03277
01/25/2017,19,0.03001
01/25/2017,20,0.02828
01/25/2017,21,0.02498
01/25/2017,22,0.0226
01/25/2017,23,0.02129
01/25/2017,24,0.02123
01/26/2017,1,0.02063
01/26/2017,2,0.02047
01/26/2017,3,0.02049
01/26/2017,4,0.02062
01/26/2017,5,0.0213
01/26/2017,6,0.02548
01/26/2017,7,0.03367
01/26/2017,8,0.02909
01/26/2017,9,0.02782
01/26/2017,10,0.02764
01/26/2017,11,0.02746
01/26/2017,12,0.02598
01/26/2017,13,0.02575
01/26/2017,14,0.02556
01/26/2017,15,0.02458
01/26/2017,16,0.02551
01/26/2017,17,0.02874
01/26/2017,18,0.03521
01/26/2017,19,0.03251
01/26/2017,20,0.03075
01/26/2017,21,0.02814
01/26/2017,22,0.02538
01/26/2017,23,0.0237
01/26/2017,24,0.02236
01/27/2017,1,0.02184
01/27/2017,2,0.02185
01/27/2017,3,0.02162
01/27/2017,4,0.02209
01/27/2017,5,0.02352
01/27/2017,6,0.02767
01/27/2017,7,0.03652
01/27/2017,8,0.03132
