# {"t_start": 1562337504.3660805, "env_id": "EVCharging-v2"} 
r,l,t
-0.672795,15,85.342509
-0.613673,14,85.391529
-1.028887,16,85.475607
-0.984859,12,85.566679
-0.756513,16,85.718729
-0.966649,12,85.818699
-0.775855,15,86.618553
-0.775352,15,86.674094
-0.692553,14,86.722336
-0.629195,14,86.769859
-0.824133,13,86.814388
-1.021833,17,86.87057
-0.924972,14,87.54788
-1.263696,16,87.685375
-1.435955,15,87.810321
-1.348577,16,87.942829
-1.429207,13,88.030049
-1.252613,14,88.104504
-1.223274,16,88.199069
-1.026754,16,89.198923
-0.314109,13,89.277258
-0.455763,15,89.338379
-0.635438,14,89.389839
-0.830007,14,89.43978
-0.731481,14,89.488019
-0.820572,14,89.537166
-0.632393,15,90.4599
-0.80129,12,90.50434
-0.802388,13,90.551041
-0.93704,15,90.602007
-0.886429,14,90.650786
-0.613917,17,90.710467
-0.846205,13,90.75609
-0.676969,14,91.257298
-0.701983,11,91.304297
-0.48747,12,91.388769
-0.739481,16,91.463834
-0.561832,15,91.528912
-0.622775,14,91.587116
-0.576461,12,91.639952
-0.864188,16,91.706485
-0.619465,14,92.6055
-0.824669,15,92.725783
-0.454521,13,92.820883
-0.562467,13,92.896416
-0.567977,14,92.973434
-0.793093,15,93.060804
-0.459811,14,93.165476
-0.978872,14,93.680283
-0.974806,16,93.736362
-1.00225,13,93.779274
-1.01057,14,93.822801
-0.987895,15,93.868469
-1.012649,15,93.913945
-0.814696,13,93.954723
-0.913623,15,94.741557
-1.025392,12,94.824397
-1.05359,13,94.923585
-1.049765,14,95.024819
-1.284448,15,95.120793
-0.969711,15,95.239835
-1.003726,14,95.297647
-0.689106,14,95.976794
-0.309628,13,96.017776
-0.766711,16,96.06564
-0.864305,12,96.103282
-0.642155,13,96.14361
-0.735113,13,96.183923
-0.846499,12,96.228427
-0.803464,13,96.624319
-0.801707,15,96.670158
-0.567906,13,96.714923
-0.556083,15,96.763724
-0.468469,14,96.808136
-0.730483,14,96.850677
-0.955736,13,96.89047
-0.646786,14,96.933109
-0.976094,13,97.352685
-0.841083,14,97.399649
-0.85488,12,97.442133
-0.919991,15,97.493803
-0.750191,16,97.542773
-0.857121,14,97.585453
-1.077055,15,97.633062
-0.827631,13,98.091889
-0.68522,13,98.13318
-0.796356,12,98.171246
-0.664782,14,98.214488
-0.43295,12,98.25618
-0.843598,15,98.302951
-0.788709,15,98.348317
-0.871364,12,98.734589
-0.612503,11,98.769878
-0.6248,12,98.808018
-0.788121,16,98.855663
-0.911075,14,98.898334
-0.908287,14,98.941785
-0.97187,15,98.987
-0.770707,15,99.384455
-0.828516,14,99.42842
-0.991983,16,99.476398
-0.896503,15,99.521368
-0.730779,12,99.559328
-0.857157,15,99.604378
-0.886355,16,99.651936
-0.525261,16,100.078246
-0.666624,14,100.125541
-0.808667,12,100.16452
-0.7244,12,100.203902
-0.821704,13,100.245308
-0.67383,12,100.283754
-0.847868,14,100.32882
-0.497463,13,100.36901
-0.89204,14,100.772898
-0.936531,15,100.835844
-0.909795,16,100.885952
-0.933621,17,100.939574
-1.022612,13,100.987857
-0.923648,15,101.07769
-0.564789,15,101.675858
-0.837078,14,101.72024
-0.708452,13,101.761048
-0.842306,13,101.802514
-0.788985,16,101.858632
-0.767081,15,101.935071
-0.80947,14,101.981528
-0.998528,15,102.619601
-0.77856,12,102.678597
-0.935529,14,102.751971
-0.828156,15,102.862266
-0.833143,15,102.950164
-0.478422,15,103.026024
-0.80507,14,103.071929
-1.045187,12,103.11061
-0.676111,15,103.532223
-0.910934,13,103.578485
-1.046464,14,103.624576
-0.984694,13,103.665136
